epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
1,0.04158753901720047,0.04158753901720047,0.02962237037718296,0.02962237037718296
2,0.022361190989613533,0.022361190989613533,0.01972142793238163,0.01972142793238163
3,0.015214365907013416,0.015214365907013416,0.01571323722600937,0.01571323722600937
4,0.011914301663637161,0.011914301663637161,0.01378603745251894,0.01378603745251894
5,0.009903636761009693,0.009903636761009693,0.012216084636747837,0.012216084636747837
6,0.00854040402919054,0.00854040402919054,0.011474022641777992,0.011474022641777992
7,0.0075597031973302364,0.0075597031973302364,0.010539045557379723,0.010539045557379723
8,0.006812393199652433,0.006812393199652433,0.010127260349690914,0.010127260349690914
9,0.006225829478353262,0.006225829478353262,0.009539171122014523,0.009539171122014523
10,0.005748202092945576,0.005748202092945576,0.009453301317989826,0.009453301317989826
11,0.005333242937922478,0.005333242937922478,0.009016988798975945,0.009016988798975945
12,0.0050118048675358295,0.0050118048675358295,0.00876187440007925,0.00876187440007925
13,0.004723537713289261,0.004723537713289261,0.00859752669930458,0.00859752669930458
14,0.004481152165681124,0.004481152165681124,0.008572130464017391,0.008572130464017391
15,0.004286604467779398,0.004286604467779398,0.00828615203499794,0.00828615203499794
16,0.0041251457296311855,0.0041251457296311855,0.00830930843949318,0.00830930843949318
17,0.003951259423047304,0.003951259423047304,0.008127937093377113,0.008127937093377113
18,0.0038016140460968018,0.0038016140460968018,0.008100993931293488,0.008100993931293488
19,0.0036858823150396347,0.0036858823150396347,0.007946956902742386,0.007946956902742386
20,0.0035862817894667387,0.0035862817894667387,0.007898575626313686,0.007898575626313686
21,0.0034826421178877354,0.0034826421178877354,0.007828176021575928,0.007828176021575928
22,0.0033962673041969538,0.0033962673041969538,0.007764926180243492,0.007764926180243492
23,0.0033247540704905987,0.0033247540704905987,0.007737832143902779,0.007737832143902779
24,0.0032437185291200876,0.0032437185291200876,0.007813017815351486,0.007813017815351486
25,0.0031673084013164043,0.0031673084013164043,0.007868762128055096,0.007868762128055096
26,0.0031224535778164864,0.0031224535778164864,0.007665400858968496,0.007665400858968496
27,0.0030508378986269236,0.0030508378986269236,0.007653072476387024,0.007653072476387024
28,0.0030049339402467012,0.0030049339402467012,0.008093263953924179,0.008093263953924179
29,0.0029491926543414593,0.0029491926543414593,0.007623748388141394,0.007623748388141394
30,0.002909265225753188,0.002909265225753188,0.007567793596535921,0.007567793596535921
31,0.002867942675948143,0.002867942675948143,0.007812193129211664,0.007812193129211664
32,0.0028231628239154816,0.0028231628239154816,0.0076470645144581795,0.0076470645144581795
33,0.002788037294521928,0.002788037294521928,0.007583309430629015,0.007583309430629015
34,0.0027414613869041204,0.0027414613869041204,0.0076792798936367035,0.0076792798936367035
35,0.0027221059426665306,0.0027221059426665306,0.008298903703689575,0.008298903703689575
36,0.002682563615962863,0.002682563615962863,0.007536293938755989,0.007536293938755989
37,0.0026431563310325146,0.0026431563310325146,0.007691923528909683,0.007691923528909683
38,0.0026436615735292435,0.0026436615735292435,0.0077320728451013565,0.0077320728451013565
39,0.0026200341526418924,0.0026200341526418924,0.00782832968980074,0.00782832968980074
40,0.0025744771119207144,0.0025744771119207144,0.007744332775473595,0.007744332775473595
41,0.002547219395637512,0.002547219395637512,0.007585776504129171,0.007585776504129171
42,0.00251425220631063,0.00251425220631063,0.0076996139250695705,0.0076996139250695705
43,0.002489945851266384,0.002489945851266384,0.007667820900678635,0.007667820900678635
44,0.0024574275594204664,0.0024574275594204664,0.007489893119782209,0.007489893119782209
45,0.00242752768099308,0.00242752768099308,0.007583409547805786,0.007583409547805786
46,0.0024084884207695723,0.0024084884207695723,0.00772266136482358,0.00772266136482358
47,0.002410800429061055,0.002410800429061055,0.007478168699890375,0.007478168699890375
48,0.002373598050326109,0.002373598050326109,0.007785266265273094,0.007785266265273094
49,0.0023573802318423986,0.0023573802318423986,0.007761954329907894,0.007761954329907894
50,0.002343696542084217,0.002343696542084217,0.0075723351910710335,0.0075723351910710335
51,0.0023214141838252544,0.0023214141838252544,0.00780105497688055,0.00780105497688055
52,0.002302552340552211,0.002302552340552211,0.0076171280816197395,0.0076171280816197395
53,0.002299709478393197,0.002299709478393197,0.007961027324199677,0.007961027324199677
54,0.0022757877595722675,0.0022757877595722675,0.007713089231401682,0.007713089231401682
55,0.0022715963423252106,0.0022715963423252106,0.007594135124236345,0.007594135124236345
56,0.0022504515945911407,0.0022504515945911407,0.007716471329331398,0.007716471329331398
57,0.00224321405403316,0.00224321405403316,0.007664711680263281,0.007664711680263281
58,0.002237921115010977,0.002237921115010977,0.00900916289538145,0.00900916289538145
59,0.0022182557731866837,0.0022182557731866837,0.007763807661831379,0.007763807661831379
60,0.0022077076137065887,0.0022077076137065887,0.007727025076746941,0.007727025076746941
